"address","address_lat","address_lng","nearest_mrt_name","distance_to_nearest_mrt"
"590B ANG MO KIO STREET 51",1.3709618,103.8536569,"Ang Mo Kio",560
"596D ANG MO KIO STREET 52",1.3718971,103.850947,"Ang Mo Kio",424
"588D ANG MO KIO STREET 52",1.3717029,103.8539178,"Ang Mo Kio",937
"596C ANG MO KIO STREET 52",1.3721087,103.850181,"Ang Mo Kio",504
"588C ANG MO KIO STREET 52",1.3718689,103.8535776,"Ang Mo Kio",906
"596B ANG MO KIO STREET 52",1.3720879,103.850566,"Ang Mo Kio",593
"596A ANG MO KIO STREET 52",1.3726076,103.8508965,"Ang Mo Kio",588
"221 ANG MO KIO AVENUE 1",1.3664403,103.8392427,"Mayflower",998
"305 ANG MO KIO AVENUE 1",1.3661074,103.8460363,"Ang Mo Kio",690
"306 ANG MO KIO AVENUE 1",1.3656612,103.8458882,"Ang Mo Kio",846
"222 ANG MO KIO AVENUE 1",1.366072,103.8393114,"Mayflower",1027
"402 ANG MO KIO AVENUE 10",1.3615121,103.855295,"Ang Mo Kio",1200
"460 ANG MO KIO AVENUE 10",1.3663551,103.8590084,"Ang Mo Kio",1374
"539 ANG MO KIO AVENUE 10",1.375436,103.8543703,"Ang Mo Kio",1315
"458 ANG MO KIO AVENUE 10",1.3666504,103.8595793,"Ang Mo Kio",1442
"431 ANG MO KIO AVENUE 10",1.3682646,103.8529208,"Ang Mo Kio",455
"553 ANG MO KIO AVENUE 10",1.3725614,103.8572692,"Ang Mo Kio",1137
"551 ANG MO KIO AVENUE 10",1.3739454,103.858628,"Ang Mo Kio",1274
"439 ANG MO KIO AVENUE 10",1.3663578,103.8532832,"Ang Mo Kio",678
"552 ANG MO KIO AVENUE 10",1.3724142,103.8568178,"Ang Mo Kio",1041
"545 ANG MO KIO AVENUE 10",1.3732261,103.8563633,"Ang Mo Kio",1045
"437 ANG MO KIO AVENUE 10",1.3672748,103.8530567,"Ang Mo Kio",601
"259 ANG MO KIO AVENUE 2",1.3686288,103.8315388,"Bright Hill",1282
"132 ANG MO KIO AVENUE 3",1.3714067,103.8418695,"Mayflower",1031
"101 ANG MO KIO AVENUE 3",1.3702489,103.839424,"Mayflower",582
"430 ANG MO KIO AVENUE 3",1.368944,103.8527259,"Ang Mo Kio",378
"176 ANG MO KIO AVENUE 4",1.37591,103.836163,"Mayflower",475
"111 ANG MO KIO AVENUE 4",1.3708757,103.8372491,"Mayflower",643
"521 ANG MO KIO AVENUE 5",1.3735839,103.8516073,"Ang Mo Kio",607
"501 ANG MO KIO AVENUE 5",1.3759816,103.8488444,"Ang Mo Kio",847
"520 ANG MO KIO AVENUE 5",1.3734219,103.8511317,"Ang Mo Kio",629
"642 ANG MO KIO AVENUE 5",1.3779356,103.8404198,"Yio Chu Kang",998
"729 ANG MO KIO AVENUE 6",1.3738738,103.8459457,"Ang Mo Kio",835
"716 ANG MO KIO AVENUE 6",1.3714565,103.8458551,"Ang Mo Kio",766
"714 ANG MO KIO AVENUE 6",1.371088,103.8462175,"Ang Mo Kio",671
"710 ANG MO KIO AVENUE 8",1.3717882,103.8477922,"Ang Mo Kio",665
"622 ANG MO KIO AVENUE 9",1.3821158,103.8396628,"Lentor",485
"104B ANG MO KIO STREET 11",1.3716126,103.8380198,"Mayflower",368
"253 ANG MO KIO STREET 21",1.369765,103.834534,"Mayflower",559
"315B ANG MO KIO STREET 31",1.3641566,103.8474452,"Ang Mo Kio",951
"588A ANG MO KIO STREET 52",1.3720758,103.8526491,"Ang Mo Kio",779
"588B ANG MO KIO STREET 52",1.3720186,103.8530341,"Ang Mo Kio",847
"615 ANG MO KIO AVENUE 4",1.3775316,103.8392299,"Mayflower",883
"613 ANG MO KIO AVENUE 4",1.3786753,103.8394238,"Mayflower",770
"616 ANG MO KIO AVENUE 4",1.3777243,103.8391521,"Mayflower",860
"614 ANG MO KIO AVENUE 4",1.37809,103.8393309,"Mayflower",823
"104A ANG MO KIO STREET 11",1.3714733,103.8391162,"Mayflower",533
"514 BEDOK NORTH AVENUE 2",1.3321757,103.9289423,"Bedok Reservoir",1036
"106 BEDOK NORTH AVENUE 4",1.334388,103.9370129,"Bedok Reservoir",1370
"101 BEDOK NORTH AVENUE 4",1.3344559,103.9379194,"Bedok Reservoir",1249
"114 BEDOK NORTH STREET 2",1.3305163,103.9359252,"Bedok Reservoir",956
"541 BEDOK NORTH STREET 3",1.3313958,103.9229638,"Bedok North",1170
"535 BEDOK NORTH STREET 3",1.332783,103.9235076,"Bedok North",930
"534 BEDOK NORTH STREET 3",1.333142,103.9246859,"Bedok North",1056
"620 BEDOK RESERVOIR ROAD",1.334281,103.9175258,"Bedok North",1767
"38 BEDOK SOUTH ROAD",1.3209933,103.9386438,"Bedok",1734
"808B CHAI CHEE ROAD",1.3274206,103.9239834,"Bedok",1020
"220A BEDOK CENTRAL",1.3257543,103.9346514,"Bedok",789
"219A BEDOK CENTRAL",1.3253054,103.9328259,"Bedok",608
"219D BEDOK CENTRAL",1.3249196,103.9337841,"Bedok",588
"221C BEDOK CENTRAL",1.3250199,103.9341603,"Bedok",633
"550 BEDOK NORTH AVENUE 1",1.3320494,103.9263524,"Bedok Reservoir",1363
"521 BEDOK NORTH AVENUE 1",1.3302395,103.9268158,"Bedok",970
"424 BEDOK NORTH AVENUE 1",1.3283483,103.9274843,"Bedok",923
"548 BEDOK NORTH AVENUE 1",1.3313002,103.9268611,"Bedok Reservoir",1497
"549 BEDOK NORTH AVENUE 1",1.3316666,103.9267705,"Bedok Reservoir",1348
"519 BEDOK NORTH AVENUE 1",1.3308544,103.9280394,"Bedok",1219
"520 BEDOK NORTH AVENUE 1",1.3305249,103.9280848,"Bedok",1104
